dataset,task,track,method,variant,comparison_family,accuracy,macro_f1,weighted_f1,attack_recall,normal_recall,rare_recall,mcc,features,false_alerts_per_day,total_alerts_per_day,missed_attacks_per_day,operational_precision,source_file,limitation
nsl_kdd,binary,feature_learning,LogisticRegression,mutual_info_top_30,feature_representation,0.7467175301632364,0.7461240412357562,0.744424158270992,0.6134185303514377,0.9228709710637422,,0.546449628730576,30.0,,,,,results/feature_learning_results.csv,CICIoT2023 rows are dev-sample only when dataset=ciciot2023_dev
nsl_kdd,binary,feature_learning,LogisticRegression,pca_30,feature_representation,0.7199254790631654,0.7181724666908582,0.7150943426040509,0.5630795605080652,0.9271959633405416,,0.5083672785289195,30.0,,,,,results/feature_learning_results.csv,CICIoT2023 rows are dev-sample only when dataset=ciciot2023_dev
nsl_kdd,binary,feature_learning,LogisticRegression,l1_selected,feature_representation,0.7513307310149042,0.7508206367229283,0.7492593481155274,0.6201979272188888,0.92462156317578,,0.5542962210515521,55.0,,,,,results/feature_learning_results.csv,CICIoT2023 rows are dev-sample only when dataset=ciciot2023_dev
nsl_kdd,binary,feature_learning,LogisticRegression,autoencoder_embedding_16,feature_representation,0.7580287437899219,0.7575919172458649,0.7561668676423686,0.6285358061248344,0.9291525074657604,,0.5666334568920984,16.0,,,,,results/feature_learning_results.csv,CICIoT2023 rows are dev-sample only when dataset=ciciot2023_dev
ciciot2023_dev,binary,feature_learning,LogisticRegression,raw_all_features,feature_representation,0.821175,0.7521142094775854,0.8439641122800958,0.7925969447708578,0.9843959731543624,,0.5915860164879512,39.0,,,,,results/feature_learning_results.csv,CICIoT2023 rows are dev-sample only when dataset=ciciot2023_dev
ciciot2023_dev,binary,feature_learning,LogisticRegression,mutual_info_top_30,feature_representation,0.8205,0.7514601878388438,0.843417209254519,0.7917450058754406,0.984731543624161,,0.5908236313657094,30.0,,,,,results/feature_learning_results.csv,CICIoT2023 rows are dev-sample only when dataset=ciciot2023_dev
ciciot2023_dev,binary,feature_learning,LogisticRegression,pca_30,feature_representation,0.818625,0.7494755075079544,0.8418722597885464,0.7896592244418331,0.9840604026845636,,0.5879385361689294,30.0,,,,,results/feature_learning_results.csv,CICIoT2023 rows are dev-sample only when dataset=ciciot2023_dev
ciciot2023_dev,binary,feature_learning,LogisticRegression,l1_selected,feature_representation,0.820925,0.7518765567268251,0.8437622629545276,0.7922737955346651,0.9845637583892616,,0.5913244555567229,35.0,,,,,results/feature_learning_results.csv,CICIoT2023 rows are dev-sample only when dataset=ciciot2023_dev
ciciot2023_dev,binary,feature_learning,LogisticRegression,autoencoder_embedding_16,feature_representation,0.835025,0.7627363717436173,0.8546728127708025,0.8149236192714454,0.9498322147651008,,0.5948064904108632,16.0,,,,,results/feature_learning_results.csv,CICIoT2023 rows are dev-sample only when dataset=ciciot2023_dev
nsl_kdd,binary,neural_ablation,MLP,baseline_relu_1x64,neural_mlp_ablation,0.7537260468417317,0.7532463416514226,0.7517396619691837,0.6233148912958778,0.9260632272680466,,0.5586244338092113,8002.0,,,,,results/neural_ablation.csv,bounded train subset; single seed
nsl_kdd,binary,neural_ablation,MLP,activation_tanh,neural_mlp_ablation,0.7576738821859474,0.7572964684814035,0.75597106287332,0.6308735291825762,0.9252394192153228,,0.5642438669089017,8002.0,,,,,results/neural_ablation.csv,bounded train subset; single seed
