x,linear,linear_derivative,sigmoid,sigmoid_derivative,tanh,tanh_derivative,relu,relu_derivative,leaky_relu,leaky_relu_derivative,elu,elu_derivative,gelu,gelu_derivative_numeric
-1.5999999999999996,-1.5999999999999996,1.0,0.16798161486607557,0.13976379193306104,-0.9216685544064712,0.15052707581828562,0.0,0.0,-0.015999999999999997,0.01,-0.7981034820053445,0.20189651799465547,-0.08786303785563854,-0.12307373613619621
-1.5749999999999997,-1.5749999999999997,1.0,0.1715047699754009,0.14209088385108573,-0.9178174435990699,0.15761114022526812,0.0,0.0,-0.015749999999999997,0.01,-0.7929924473188473,0.20700755268115267,-0.09095871520402117,-0.12449697670708515
-1.5499999999999998,-1.5499999999999998,1.0,0.17508626816403985,0.14443106686442977,-0.9137854901178277,0.1649960780501214,0.0,0.0,-0.015499999999999998,0.01,-0.7877520261732569,0.2122479738267431,-0.09408788669099277,-0.1257469116418839
-1.525,-1.525,1.0,0.17872642365885047,0.14678328914496755,-0.909565053033425,0.17269141430030266,0.0,0.0,-0.01525,0.01,-0.7823789431347671,0.2176210568652329,-0.09724606078611533,-0.1268107265754863
-1.5,-1.5,1.0,0.18242552380635635,0.14914645207033286,-0.9051482536448665,0.18070663892364836,0.0,0.0,-0.015,0.01,-0.7768698398515702,0.22313016014842982,-0.10042842301976707,-0.1276754147846182
-1.4749999999999996,-1.4749999999999996,1.0,0.1861838279015086,0.15151941012945003,-0.9005269768828864,0.18905116390616938,0.0,0.0,-0.014749999999999997,0.01,-0.7712212729547775,0.2287787270452225,-0.10362983152534629,-0.12832780624884288
-1.4499999999999997,-1.4499999999999997,1.0,0.19000156601531304,0.1539009709270417,-0.8956928738431644,0.1977342757465731,0.0,0.0,-0.014499999999999997,0.01,-0.7654297119062023,0.2345702880937977,-0.10684481333220926,-0.12875459863047345
-1.4249999999999998,-1.4249999999999998,1.0,0.19387893782385993,0.1562898952921518,-0.8906373655681185,0.20676508305388175,0.0,0.0,-0.014249999999999999,0.01,-0.7594915367916578,0.24050846320834218,-0.11006756145686994,-0.12894239013192577
-1.4,-1.4,1.0,0.19781611144141825,0.15868489749561462,-0.8853516482022624,0.21615245902553737,0.0,0.0,-0.013999999999999999,0.01,-0.7534030360583935,0.2465969639416065,-0.11329193283880551,-0.12887771417699945
-1.375,-1.375,1.0,0.20181322226037884,0.1610846455812618,-0.8798266996519848,0.2259049785794961,0.0,0.0,-0.01375,0.01,-0.7471604041952535,0.25283959580474646,-0.1165114471657199,-0.12854707585030045
-1.3499999999999996,-1.3499999999999996,1.0,0.20587037180094736,0.16348776181548705,-0.8740532878860069,0.23603084993566115,0.0,0.0,-0.013499999999999996,0.01,-0.7407597393541083,0.2592402606458916,-0.11971928663132057,-0.12793699001637515
-1.3249999999999997,-1.3249999999999997,1.0,0.2099876265736026,0.16589282325958782,-0.8680219810175623,0.24653784047034666,0.0,0.0,-0.013249999999999998,0.01,-0.7341970409110734,0.26580295908892665,-0.12290829666653871,-0.1270340210274017
-1.2999999999999998,-1.2999999999999998,1.0,0.21416501695744142,0.16829836246906024,-0.8617231593133063,0.25743319670309406,0.0,0.0,-0.012999999999999998,0.01,-0.7274682069659874,0.27253179303401265,-0.12607098768269065,-0.12582482391537697
-1.275,-1.275,1.0,0.21840253609763446,0.17070286832375595,-0.8551470292769645,0.26872355831878236,0.0,0.0,-0.01275,0.01,-0.7205690317785927,0.27943096822140734,-0.12919953786230753,-0.12429618695189593
-1.25,-1.25,1.0,0.22270013882530884,0.173104786992497,-0.8482836399575129,0.28041486618043265,0.0,0.0,-0.0125,0.01,-0.7134952031398099,0.2865047968601901,-0.13228579703028542,-0.1224350754458765
-1.2249999999999996,-1.2249999999999996,1.0,0.22705774060326153,0.17550252303540353,-0.8411229016320432,0.29251226435009225,0.0,0.0,-0.012249999999999997,0.01,-0.706242299676467,0.29375770032353293,-0.13532129163460138,-0.1202286766369931
-1.1999999999999997,-1.1999999999999997,1.0,0.23147521650098238,0.1778944406468057,-0.8336546070121552,0.30501999620740905,0.0,0.0,-0.011999999999999997,0.01,-0.6988057880877978,0.3011942119122022,-0.1382972308621351,-0.11766444553043254
-1.1749999999999998,-1.1749999999999998,1.0,0.235952400202534,0.18027886504119725,-0.8258684551194574,0.3179412948386008,0.0,0.0,-0.011749999999999998,0.01,-0.6911810203119801,0.3088189796880199,-0.141204513911123,-0.11473015150669363
-1.15,-1.15,1.0,0.24048908305088898,0.1826540839842316,-0.8177540779702877,0.33127826796296467,0.0,0.0,-0.0115,0.01,-0.6833632306209467,0.3166367693790533,-0.14403373843746975,-0.11141392552901985
-1.125,-1.125,1.0,0.24508501313237172,0.1850183494702769,-0.809301070201781,0.34503177777025196,0.0,0.0,-0.01125,0.01,-0.6753475326416503,0.32465246735834974,-0.14677521018757397,-0.10770430776038875
-1.0999999999999996,-1.0999999999999996,1.0,0.24973989440488245,0.18736987954752063,-0.8004990217606296,0.35920131616027506,0.0,0.0,-0.010999999999999996,0.01,-0.6671289163019203,0.33287108369807966,-0.1494189538254892,-0.10359029539219122
