dataset,encoded_feature,attribute,target_corr,abs_target_corr,outlier_rate_iqr,logreg_importance,rf_importance,mutual_info,importance_consensus
nsl_kdd,service_ftp,service,0.002669975108868321,0.002669975108868321,0.0,0.8040722243850549,0.0009343851178878357,0.003738093672559062,0.04036930471072931
nsl_kdd,service_uucp_path,service,0.07947821196747491,0.07947821196747491,0.0,0.7836356793556123,1.4561864280259485e-09,0.0028875414392670606,0.03687237470138923
nsl_kdd,flag_OTH,flag,0.01132082988554217,0.01132082988554217,0.0,0.795543837528805,1.8148435682126308e-05,0.0,0.0357359412006447
nsl_kdd,service_klogin,service,0.06294180145140241,0.06294180145140241,0.0,0.7408424803628375,3.9510935573121495e-08,0.0,0.03324128793150901
nsl_kdd,service_bgp,service,0.08068708997212805,0.08068708997212805,0.0,0.6607649705262175,9.496040130128455e-10,0.0058733487575641785,0.03312852441284552
nsl_kdd,service_systat,service,0.066073989560575,0.066073989560575,0.0,0.7068478553547524,0.0,0.0017337332092883795,0.032743234012841065
nsl_kdd,service_kshell,service,0.05227561583024643,0.05227561583024643,0.0,0.6634246863585641,3.3399325638648413e-18,0.003593687690863767,0.03189700886824732
nsl_kdd,flag_S3,flag,-0.015177580863611765,0.015177580863611765,0.0,0.6210457289359337,1.5984680696955638e-05,0.001206322402924842,0.028616326126262123
nsl_kdd,service_pm_dump,service,0.006752135791498385,0.006752135791498385,0.0,0.5898637643581461,0.0,0.0021525444262677773,0.02774239530566407
nsl_kdd,duration,duration,0.04878532742311852,0.04878532742311852,0.0,0.08155155271587006,0.00319280200103166,0.02739449198432875,0.026985792265680708
nsl_kdd,service_shell,service,0.021547811453415073,0.021547811453415073,0.0,0.5813549813292453,5.93534611813948e-18,0.0,0.026085082597534465
nsl_kdd,service_vmnet,service,0.07518934504090956,0.07518934504090956,0.0,0.5123062557834387,6.715080405260888e-05,0.0029510845119784523,0.024884811633028577
nsl_kdd,service_netbios_ssn,service,0.057534286462516224,0.057534286462516224,0.0,0.5423057839422069,1.482279627230152e-18,0.0,0.024332966296957942
nsl_kdd,flag_RSTOS0,flag,0.030657997106338368,0.030657997106338368,0.0,0.47892493385672347,6.928357858942242e-06,0.0024206825506145613,0.022938913060044138
nsl_kdd,service_pop_2,service,0.026676530347329273,0.026676530347329273,0.0,0.4957190735197778,0.0,0.0,0.022242645875968456
nsl_kdd,service_sql_net,service,0.04731004065524613,0.04731004065524613,0.0,0.4455105788531124,0.0,0.0013607049813990635,0.020796127738057214
nsl_kdd,service_echo,service,0.06301469157521083,0.06301469157521083,0.0,0.43627286007578786,0.0,0.000977418258931717,0.02015451298929876
nsl_kdd,flag_SH,flag,0.04907524769931489,0.04907524769931489,0.0,0.41338840953938777,0.00018305691000359,0.0,0.018955215770592008
nsl_kdd,service_netbios_dgm,service,0.06086593610090844,0.06086593610090844,0.0,0.34295634244393847,4.801308101597359e-11,0.005498261032429452,0.018646356836658662
nsl_kdd,service_iso_tsap,service,0.07936214168723127,0.07936214168723127,0.0,0.37095455284003903,1.6279879779545966e-09,0.0006873007174492685,0.01705180532419819
nsl_kdd,su_attempted,su_attempted,-0.022448496646234127,0.022448496646234127,0.0,0.2967197830845636,7.330531011263495e-06,0.0039049382032276814,0.015643882228823243
nsl_kdd,service_discard,service,0.07018883813189296,0.07018883813189296,0.0,0.28231927710646704,5.70036280068074e-10,0.003739954462875339,0.014883690150616649
nsl_kdd,service_csnet_ns,service,0.07064595252207037,0.07064595252207037,0.0,0.2747189494896677,1.2100134462123606e-08,0.004032908707884975,0.01471628840440156
nsl_kdd,service_netbios_ns,service,0.056326303914083636,0.056326303914083636,0.0,0.31124089430325313,0.0,0.0,0.013965210063337993
nsl_kdd,service_ssh,service,0.051713387609880555,0.051713387609880555,0.0,0.2334107825619183,4.368567486561364e-06,0.0011794897962469353,0.011181648449552278
nsl_kdd,service_supdup,service,0.07058082860426881,0.07058082860426881,0.0,0.21636845435898472,5.561283760713536e-12,0.002262410708104845,0.011048966604975603
nsl_kdd,service_urh_i,service,-0.00831365923887179,0.00831365923887179,0.0,0.23068056708954615,3.015187318942255e-06,0.0,0.010357210806478782
nsl_kdd,service_remote_job,service,0.026676530347329336,0.026676530347329336,0.0,0.23031125252943524,4.430820305165899e-18,0.0,0.010333940945402407
nsl_kdd,num_failed_logins,num_failed_logins,-0.003755073924083307,0.003755073924083307,0.0,0.0893993290952627,0.0001613099262279439,0.0066897235202496574,0.008333799556735461
nsl_kdd,num_file_creations,num_file_creations,-0.021270729449097928,0.021270729449097928,0.0,0.16904432353473686,0.00012428293119578327,0.0,0.007861049580862882
nsl_kdd,root_shell,root_shell,-0.02028540195274825,0.02028540195274825,0.0,0.0947919288473886,4.011305354790287e-05,0.004238194740399548,0.006853799765158812
nsl_kdd,num_access_files,num_access_files,-0.036700505886624324,0.036700505886624324,0.0,0.08587362506652496,3.7145166968414624e-05,0.004690242543312628,0.006714915397460739
nsl_kdd,service_login,service,0.06264940458658536,0.06264940458658536,0.0,0.11940411523431099,2.9429975288632534e-10,0.0005631431045083346,0.00569129891755972
nsl_kdd,service_exec,service,0.06586509473732206,0.06586509473732206,0.0,0.09947047967043622,1.1387419356007527e-08,0.0,0.0044632117547218925
nsl_kdd,service_red_i,service,-0.0074359038477441585,0.0074359038477441585,0.0,0.0635142605738178,0.0,0.002442439722879497,0.004297161222055272
nsl_kdd,land,land,0.007190758994807152,0.007190758994807152,0.0,0.08915641050867215,2.015199072326169e-05,0.0,0.004045171949818342
nsl_kdd,service_sunrpc,service,0.05902932026386187,0.05902932026386187,0.0,0.0418185175138045,9.83628934453739e-08,0.003189743458709149,0.0037667315690280054
nsl_kdd,num_outbound_cmds,num_outbound_cmds,0.0,0.0,0.0,0.0,0.0,0.005043385360140151,0.0029885470996485375
nsl_kdd,num_shells,num_shells,-0.009471997356955265,0.009471997356955265,0.0,0.02236576898335394,1.6440917391760572e-05,0.0032765647468611103,0.0029816534471727996
nsl_kdd,service_printer,service,0.025089445552742094,0.025089445552742094,0.0,0.06087605095665779,0.0,0.0,0.0027314753780647645
nsl_kdd,service_tftp_u,service,-0.004553452180362913,0.004553452180362913,0.0,0.03948341314607741,0.0,0.0007512642765350463,0.0022167742461953466
